layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
16,541,3,unassigned,0.134204,4.277735,0.249769,0.415000,0.147802,0.128950,0.054167,0.648926,0.973145,0.176683,1.638823,0.000000
16,542,3,grounding,0.147088,3.452871,0.507434,0.955000,0.160388,0.268006,0.177658,0.499756,0.974121,0.182244,1.462469,0.000000
16,543,0,unassigned,0.141960,4.513559,0.122761,0.095000,0.155172,0.229571,0.037503,0.861816,0.972656,0.246878,1.881836,0.000000
17,544,3,grounding,0.160029,4.100824,0.397109,0.827500,0.172629,0.473006,0.107900,0.351807,0.969238,0.198127,1.757228,0.000000
17,545,1,unassigned,0.046127,4.733274,0.035441,0.017500,0.053750,0.088071,0.057521,0.768555,0.979492,0.284823,1.942284,0.000000
17,546,3,unassigned,0.140299,4.629363,0.240490,0.652500,0.153836,0.197529,0.027160,0.922363,0.990723,0.227009,2.371339,0.000000
17,547,0,unassigned,0.110764,4.008410,0.052867,0.012500,0.124138,0.053562,0.024426,0.919922,0.988770,0.214049,2.069323,0.000000
17,548,0,unassigned,0.124904,4.115045,0.072972,0.010000,0.138017,0.050348,0.011886,0.935547,0.979492,0.158683,2.141633,0.000000
17,549,1,unassigned,0.049735,4.714027,0.038304,0.022500,0.057026,0.063016,0.056305,0.797363,0.968750,0.222794,2.218747,0.000000
17,550,1,unassigned,0.041482,4.733016,0.031171,0.017500,0.047629,0.084154,0.025530,0.760742,0.980957,0.316370,2.104658,0.000000
17,551,1,unassigned,0.062895,4.429255,0.028311,0.010000,0.072974,0.036857,0.015706,0.924805,0.992188,0.195538,1.821526,0.000000
17,552,1,unassigned,0.038735,4.631800,0.029027,0.012500,0.044569,0.065617,0.014671,0.895508,0.977539,0.240285,1.616350,0.000000
17,553,1,unassigned,0.093131,4.568027,0.116059,0.232500,0.106034,0.281531,0.062476,0.723633,0.967285,0.163096,1.794812,0.000000
17,554,2,cond,0.148367,3.085953,0.518374,0.777500,0.161638,0.645135,0.435364,0.094727,0.908203,0.200934,1.792204,0.000000
17,555,3,cond,0.157479,3.375881,0.468254,0.885000,0.170129,0.615353,0.010750,0.958008,0.974121,0.127938,1.944734,0.000000
17,556,0,reroute,0.132411,3.454344,0.501373,0.930000,0.146164,0.045616,0.006137,0.982910,0.985352,0.308536,3.373891,0.000000
