layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
4,125,1,unassigned,0.025118,4.647152,0.025744,0.030000,0.030385,nan,0.050544,0.972168,0.977539,0.068046,0.414373,0.000000
4,126,1,unassigned,0.060282,4.697445,0.056724,0.110000,0.071346,nan,0.038598,0.900391,0.983398,0.074179,0.213363,0.000000
4,127,0,unassigned,0.123982,4.973652,0.121843,0.745000,0.139519,nan,0.427703,0.517090,0.976074,0.096910,0.181601,0.000000
4,128,2,unassigned,0.070834,4.797228,0.062034,0.165000,0.082404,nan,1.548546,0.391113,0.974121,0.051229,0.219919,0.000000
4,129,0,grounding,0.185871,4.880978,0.147355,0.432500,0.197596,nan,1.238042,0.572754,0.967285,0.083861,0.157303,0.000000
4,130,1,unassigned,0.063429,5.042848,0.051025,0.100000,0.074615,nan,0.005382,0.886230,0.972168,0.072318,0.140412,0.000000
4,131,1,unassigned,0.045326,4.876709,0.045037,0.082500,0.053558,nan,0.047906,0.797852,0.967285,0.084553,0.180612,0.000000
4,132,2,unassigned,0.065209,4.568851,0.060407,0.020000,0.076731,nan,0.167535,0.069641,0.970703,0.072340,0.360800,0.000000
4,133,0,unassigned,0.128649,4.846724,0.116129,0.547500,0.142885,nan,0.300215,0.629395,0.990723,0.106303,0.282095,0.000000
4,134,0,unassigned,0.114835,4.952714,0.081486,0.282500,0.128942,nan,0.066302,0.704590,0.969727,0.087202,0.311494,0.000000
4,135,0,reroute,0.081728,3.619827,0.161968,0.505000,0.095288,nan,0.010789,0.896484,0.980469,0.069864,2.225410,0.000000
4,136,1,unassigned,0.109966,4.829423,0.085519,0.282500,0.123558,nan,0.309341,0.900879,0.983398,0.084859,0.269545,0.000000
4,137,2,unassigned,0.048837,4.930198,0.050724,0.180000,0.057981,nan,0.132884,0.193726,0.972656,0.087636,0.447365,0.000000
4,138,1,unassigned,0.094623,4.883032,0.072804,0.147500,0.107692,nan,0.181187,0.918457,0.988281,0.072075,0.115705,0.000000
4,139,1,unassigned,0.046349,5.106367,0.040906,0.140000,0.055288,nan,0.010809,0.962891,0.978027,0.093918,0.280224,0.000000
5,140,1,unassigned,0.138379,4.905298,0.100154,0.242500,0.152788,nan,1.400173,0.854980,0.979004,0.140670,0.357183,0.000000
5,141,0,unassigned,0.161121,4.742991,0.170693,0.827500,0.175192,nan,0.204114,0.685547,0.979492,0.138161,0.287664,0.000000
